,id,lat,lon,time
104266,81824,7.0038888888888895,68.31225,2012-05-30
104272,82625,5.081142857142857,55.161428571428566,2012-05-30
104277,88671,20.729894736842102,70.0407894736842,2012-05-30
104525,81824,5.699611111111111,69.46155555555555,2012-06-08
104527,81851,5.1015,49.7955,2012-06-08
104784,81824,5.7421388888888885,70.32672222222222,2012-06-17
104786,81851,8.075166666666666,51.76105555555555,2012-06-17
105043,81824,5.446058823529411,71.57452941176471,2012-06-26
105045,81851,12.828000000000001,56.92819444444444,2012-06-26
105049,82625,5.1847916666666665,55.96816666666666,2012-06-26
105304,81851,14.29219444444444,61.5563888888889,2012-07-05
105563,81851,15.006861111111114,64.68336111111108,2012-07-14
105822,81851,15.01383333333333,67.52036111111111,2012-07-23
106081,81851,15.000833333333336,70.20255555555553,2012-08-01
106340,81851,14.253583333333333,72.41197222222222,2012-08-10
106599,81851,12.870861111111111,73.83308333333335,2012-08-19
106858,81851,11.410727272727273,74.7261818181818,2012-08-28
115430,109377,5.4215,48.6255,2013-06-21
115951,109404,5.380571428571429,48.603142857142856,2013-07-09
116210,109404,8.059999999999997,50.620888888888885,2013-07-18
116469,109404,9.073083333333336,54.38886111111112,2013-07-27
116726,109382,6.43856,51.8288,2013-08-05
116728,109404,11.426805555555557,52.6271388888889,2013-08-05
116985,109382,6.454527777777779,57.41002777777778,2013-08-14
116987,109404,13.021500000000001,56.2201388888889,2013-08-14
117244,109382,7.575333333333333,60.10133333333335,2013-08-23
117246,109404,13.039555555555555,60.243555555555545,2013-08-23
117503,109382,7.378500000000001,61.120666666666665,2013-09-01
117504,109402,6.2855,50.5649,2013-09-01
117505,109404,12.634361111111112,61.68291666666667,2013-09-01
117762,109382,8.049194444444446,62.905361111111105,2013-09-10
117763,109402,6.455666666666667,54.33144444444445,2013-09-10
117764,109404,13.644277777777777,62.33499999999997,2013-09-10
118021,109382,6.982555555555556,65.39905555555555,2013-09-19
118022,109402,5.036,59.2295,2013-09-19
118023,109404,13.856694444444445,62.636611111111115,2013-09-19
118280,109382,5.744000000000001,66.87883333333333,2013-09-28
118281,109402,5.071000000000001,59.675000000000004,2013-09-28
118282,109404,13.697083333333332,62.78,2013-09-28
118539,109382,5.119882352941176,68.893,2013-10-07
118541,109404,13.182,63.34186111111111,2013-10-07
118661,37641,9.493649999999999,56.93354999999999,2013-10-16
118666,41317,22.126333333333335,60.508916666666664,2013-10-16
118667,42519,5.373352941176471,52.93088235294117,2013-10-16
118794,101609,15.495714285714286,58.95685714285714,2013-10-16
118798,109382,5.047,69.859125,2013-10-16
118800,109404,12.612249999999998,63.438527777777786,2013-10-16
118920,37641,7.686999999999999,55.43572222222223,2013-10-25
118925,41317,21.48802777777778,61.90019444444445,2013-10-25
118926,42519,5.6468,52.8135,2013-10-25
119053,101609,16.97855555555556,59.04794444444445,2013-10-25
119059,109404,12.328500000000002,62.98858333333332,2013-10-25
119179,37641,9.401916666666665,52.836222222222226,2013-11-03
119184,41317,20.425527777777784,60.16713888888891,2013-11-03
119185,42519,5.563818181818181,51.48290909090909,2013-11-03
119312,101609,16.69905555555555,56.603333333333325,2013-11-03
119318,109404,12.948361111111113,63.05525,2013-11-03
119438,37641,11.661722222222224,53.03133333333332,2013-11-12
119443,41317,19.294444444444444,59.74058333333333,2013-11-12
119571,101609,15.547555555555553,56.82588888888889,2013-11-12
119577,109404,12.598916666666668,62.95269444444442,2013-11-12
119697,37641,11.31261111111111,51.439833333333326,2013-11-21
119702,41317,18.822416666666662,59.95752777777778,2013-11-21
119830,101609,16.644333333333336,57.08063888888887,2013-11-21
119836,109404,12.435472222222224,62.1715277777778,2013-11-21
119956,37641,11.851076923076924,51.12607692307692,2013-11-30
119961,41317,18.74519444444444,59.21199999999999,2013-11-30
